cbsa_code,cbsa_title,ratio_2023,ratio_2024
41940,"San Jose-Sunnyvale-Santa Clara, CA",1.0,0.9999991186422155
42540,"Scranton--Wilkes-Barre, PA",1.0,1.0
42660,"Seattle-Tacoma-Bellevue, WA",1.0,0.9999995194373188
44060,"Spokane-Spokane Valley, WA",1.0125796109097092,1.0
44700,"Stockton-Lodi, CA",1.0,1.0
45060,"Syracuse, NY",1.0,1.000003350936922
45300,"Tampa-St. Petersburg-Clearwater, FL",0.9999992974883805,1.0
45780,"Toledo, OH",1.0,1.0
46060,"Tucson, AZ",1.0,1.0
46140,"Tulsa, OK",1.0,1.0
46520,"Urban Honolulu, HI",1.0,1.0
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",0.9955274805117382,1.0000013152633684
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1.0070044680992953,1.0
48620,"Wichita, KS",1.0091540602526468,1.0
49180,"Winston-Salem, NC",1.0,1.0
